date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:09:52	26099/26099	---MCZ	200	added ('OK')	application/javascript	etag:W/%22663b57e8-65f3%22	https://templates.hibootstrap.com/jeel/default/assets/js/extensions/revolution.extension.migration.min.js	C:/Users/INDRUZ/Downloads/skin/templates.hibootstrap.com/jeel/default/assets/js/extensions/revolution.extension.migration.min.js	(from https://templates.hibootstrap.com/jeel/default/index-2.html)
15:09:52	26099/26099	---MCZ	200	added ('OK')	application/javascript	etag:W/%22663b57e8-65f3%22	https://templates.hibootstrap.com/jeel/default/assets/js/extensions/revolution.extension.navigation.min.js	C:/Users/INDRUZ/Downloads/skin/templates.hibootstrap.com/jeel/default/assets/js/extensions/revolution.extension.navigation.min.js	(from https://templates.hibootstrap.com/jeel/default/index-2.html)
15:09:52	10927/10927	---MCZ	200	added ('OK')	application/javascript	etag:W/%22663b57e8-2aaf%22	https://templates.hibootstrap.com/jeel/default/assets/js/extensions/revolution.extension.parallax.min.js	C:/Users/INDRUZ/Downloads/skin/templates.hibootstrap.com/jeel/default/assets/js/extensions/revolution.extension.parallax.min.js	(from https://templates.hibootstrap.com/jeel/default/index-2.html)
15:09:52	29066/29066	---MCZ	200	added ('OK')	application/javascript	etag:W/%22663b57e8-718a%22	https://templates.hibootstrap.com/jeel/default/assets/js/extensions/revolution.extension.slideanims.min.js	C:/Users/INDRUZ/Downloads/skin/templates.hibootstrap.com/jeel/default/assets/js/extensions/revolution.extension.slideanims.min.js	(from https://templates.hibootstrap.com/jeel/default/index-2.html)
15:09:53	26075/26075	---MCZ	200	added ('OK')	application/javascript	etag:W/%22663b57e8-65db%22	https://templates.hibootstrap.com/jeel/default/assets/js/extensions/revolution.extension.video.min.js	C:/Users/INDRUZ/Downloads/skin/templates.hibootstrap.com/jeel/default/assets/js/extensions/revolution.extension.video.min.js	(from https://templates.hibootstrap.com/jeel/default/index-2.html)
15:09:53	2942/2942	---MCZ	200	added ('OK')	application/javascript	etag:W/%22663b57e8-b7e%22	https://templates.hibootstrap.com/jeel/default/assets/js/jquery.nice-select.min.js	C:/Users/INDRUZ/Downloads/skin/templates.hibootstrap.com/jeel/default/assets/js/jquery.nice-select.min.js	(from https://templates.hibootstrap.com/jeel/default/index-2.html)
15:09:53	6347/6347	---MCZ	200	added ('OK')	application/javascript	etag:W/%22663b6169-18cb%22	https://templates.hibootstrap.com/jeel/default/assets/js/custom.js	C:/Users/INDRUZ/Downloads/skin/templates.hibootstrap.com/jeel/default/assets/js/custom.js	(from https://templates.hibootstrap.com/jeel/default/index-2.html)
15:09:56	404773/404773	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%22663b57e8-62d25%22	https://templates.hibootstrap.com/jeel/default/assets/fonts/boxicons.eot	C:/Users/INDRUZ/Downloads/skin/templates.hibootstrap.com/jeel/default/assets/fonts/boxicons.eot	(from https://templates.hibootstrap.com/jeel/default/assets/css/boxicons.min.css)
15:09:56	117788/117788	---M--	200	added ('OK')	font/woff2	etag:%22663b57e8-1cc1c%22	https://templates.hibootstrap.com/jeel/default/assets/fonts/boxicons.woff2	C:/Users/INDRUZ/Downloads/skin/templates.hibootstrap.com/jeel/default/assets/fonts/boxicons.woff2	(from https://templates.hibootstrap.com/jeel/default/assets/css/boxicons.min.css)
15:09:57	320012/320012	---M--	200	added ('OK')	font/woff	etag:%22663b57e8-4e20c%22	https://templates.hibootstrap.com/jeel/default/assets/fonts/boxicons.woff	C:/Users/INDRUZ/Downloads/skin/templates.hibootstrap.com/jeel/default/assets/fonts/boxicons.woff	(from https://templates.hibootstrap.com/jeel/default/assets/css/boxicons.min.css)
